Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-11-17,169.02,177.5,169.0,172.5,36229500.0,0.0,1.0,84.7716820615094,89.0248110632938,84.76165109688255,86.5170699065813,36229500.0
2004-11-18,170.4,174.42,165.73,167.54,33225900.0,0.0,1.0,85.46381862076204,87.48004251075889,83.12158838039257,84.02939067912249,33225900.0
2004-11-19,169.06,169.98,166.52,169.4,17521000.0,0.0,1.0,84.7917439907631,85.25316836359819,83.51781148315315,84.96227038941954,17521000.0
2004-11-22,168.6,169.5,161.31,165.1,24711600.0,0.0,1.0,84.56103180434555,85.0124252125538,80.90474519785872,82.8056129946468,24711600.0
2004-11-23,167.915,170.83,166.5,167.52,24801700.0,0.0,1.0,84.21747126587593,85.67948436023933,83.50778051852629,84.01935971449565,24801700.0
2004-11-24,174.84,177.21,172.51,174.76,30531400.0,0.0,1.0,87.69069276792274,88.87936207620447,86.52208538889471,87.65056890941534,30531400.0
2004-11-26,175.8,180.03,175.32,179.39,12947200.0,0.0,1.0,88.17217907001155,90.29372808859033,87.93143591896714,89.97273722053112,12947200.0
2004-11-29,180.255,182.95,177.51,181.05,21311800.0,0.0,1.0,90.40657644064238,91.75824892411042,89.02982654560722,90.80530728455967,21311800.0
2004-11-30,180.7,183.0,180.25,181.98,15384600.0,0.0,1.0,90.62976540358979,91.78332633567754,90.40406869948568,91.2717471397082,15384600.0
2004-12-01,181.77,182.5,179.55,179.96,15712400.0,0.0,1.0,91.16642201112627,91.5325522200063,90.05298493754593,90.25861971239635,15712400.0
2004-12-02,179.9,181.51,178.55,179.4,12509200.0,0.0,1.0,90.2285268185158,91.03601947097722,89.55143670620343,89.97775270284455,12509200.0
2004-12-03,180.0,181.06,177.6,180.4,11726600.0,0.0,1.0,90.27868164165005,90.8103227668731,89.07496588642805,90.47930093418705,11726600.0
2004-12-06,179.13,180.7,176.02,176.29,12495400.0,0.0,1.0,89.84233468038207,90.62976540358979,88.2825196809069,88.41793770336936,12495400.0
2004-12-07,176.0,176.2,170.55,171.43,13728000.0,0.0,1.0,88.27248871628005,88.37279836254854,85.53905085546343,85.98041329904483,13728000.0
2004-12-08,170.57,173.68,168.73,169.98,15068500.0,0.0,1.0,85.54908182009027,87.10889681956544,84.62623307442007,85.25316836359819,15068500.0
2004-12-09,170.25,173.5,168.47,173.43,15292600.0,0.0,1.0,85.38858638606067,87.0186181379238,84.49583053427102,86.98350976172982,15292600.0
2004-12-10,173.43,174.88,171.29,171.65,8625700.0,0.0,1.0,86.98350976172982,87.71075469717644,85.91019654665686,86.09075390994018,8625700.0
2004-12-13,172.03,173.18,169.45,170.45,9627500.0,0.0,1.0,86.28134223785032,86.8581227038942,84.98734780098667,85.48889603232917,9627500.0
2004-12-14,171.0,178.82,169.6,178.69,22154600.0,0.0,1.0,85.76474755956754,89.68685472866589,85.06258003568804,89.62165345859137,22154600.0
2004-12-15,177.99,180.69,176.66,179.78,22919000.0,0.0,1.0,89.27056969665162,90.62474992127638,88.6035105489661,90.1683410307547,22919000.0
2004-12-16,177.22,180.49,175.95,176.47,17128400.0,0.0,1.0,88.8843775585179,90.52444027500788,88.24741130471291,88.50821638501102,17128400.0
2004-12-17,176.76,180.5,176.55,180.08,14757600.0,0.0,1.0,88.65366537210033,90.5294557573213,88.54834024351842,90.31880550015745,14757600.0
2004-12-20,182.0,188.46,181.87,185.02,19649300.0,0.0,1.0,91.28177810433505,94.5217796788076,91.21657683426052,92.7964537629894,19649300.0
2004-12-21,186.28,187.88,183.4,183.75,11021500.0,0.0,1.0,93.42840453448095,94.23088170462894,91.98394562821456,92.15948750918443,11021500.0
2004-12-22,183.9,186.85,183.01,186.3,7806100.0,0.0,1.0,92.2347197438858,93.71428702634617,91.78834181799097,93.43843549910781,7806100.0
2004-12-23,187.45,188.6,186.0,187.9,7221900.0,0.0,1.0,94.01521596515167,94.59199643119554,93.28797102970505,94.2409126692558,7221900.0
2004-12-27,189.43,193.3,189.1,191.91,12195900.0,0.0,1.0,95.00828146320983,96.9492731185053,94.8427705468668,96.25212107693922,12195900.0
2004-12-28,192.11,193.55,191.01,192.76,8283300.0,0.0,1.0,96.35243072320773,97.07466017634093,95.80072766873097,96.67843707358034,8283300.0
2004-12-29,191.97,193.52,191.78,192.9,5350800.0,0.0,1.0,96.28221397081977,97.05961372940065,96.1869198068647,96.7486538259683,5350800.0
2004-12-30,192.97,198.23,191.85,197.6,11796700.0,0.0,1.0,96.78376220216228,99.42190589902383,96.22202818305867,99.10593051327805,11796700.0
2004-12-31,199.23,199.88,192.56,192.79,15321600.0,0.0,1.0,99.92345413036632,100.24946048073895,96.57812742731186,96.69348352052062,15321600.0
2005-01-03,197.4,203.64,195.46,202.71,31656700.0,0.0,1.0,99.00562086700955,102.13528183058675,98.03261729820511,101.66884197543823,31656700.0
2005-01-04,201.33,202.93,193.48,194.5,27484200.0,0.0,1.0,100.97670541618558,101.77918258633358,97.03955180014694,97.5511309961163,27484200.0
2005-01-05,193.45,196.9,192.23,193.51,16456700.0,0.0,1.0,97.02450535320666,98.7548467513383,96.41261651096882,97.05459824708723,16456700.0
2005-01-06,195.25,195.9,187.72,188.55,20753400.0,0.0,1.0,97.92729216962317,98.25329851999581,94.15063398761414,94.56691901962843,20753400.0
2005-01-07,190.64,194.25,188.78,193.85,19306400.0,0.0,1.0,95.61515482313425,97.42574393828068,94.6822751128372,97.22512464574368,19306400.0
2005-01-10,194.5,198.1,191.83,195.06,15064100.0,0.0,1.0,97.5511309961163,99.3567046289493,96.21199721843183,97.8319980056681,15064100.0
2005-01-11,195.62,197.71,193.18,193.54,13903400.0,0.0,1.0,98.11286501521991,99.16110081872573,96.8890873307442,97.0696446940275,13903400.0
2005-01-12,194.33,195.93,190.5,195.38,16339200.0,0.0,1.0,97.46586779678809,98.26834496693608,95.5449380707463,97.9924934396977,16339200.0
2005-01-13,195.38,197.39,194.05,195.33,13685100.0,0.0,1.0,97.9924934396977,99.00060538469612,97.32543429201218,97.96741602813059,13685100.0
2005-01-14,196.0,200.01,194.13,199.97,19261300.0,0.0,1.0,98.30345334313004,100.31466175081347,97.36555815051958,100.29459982155977,19261300.0
2005-01-18,200.89,205.02,198.66,203.9,26318800.0,0.0,1.0,100.75602419439487,102.82741838983941,99.6375716385011,102.26568437073581,26318800.0
2005-01-19,204.64,205.3,196.71,197.3,22492800.0,0.0,1.0,102.63683006192925,102.96785189461531,98.65955258738323,98.9554660438753,22492800.0
2005-01-20,192.58,196.25,192.0,193.92,17985100.0,0.0,1.0,96.5881583919387,98.42884040096568,96.29726041776004,97.26023302193765,17985100.0
2005-01-21,194.44,195.36,188.12,188.28,18498200.0,0.0,1.0,97.52103810223575,97.98246247507086,94.35125328015116,94.43150099716595,18498200.0
2005-01-24,188.69,189.33,180.32,180.72,28017300.0,0.0,1.0,94.63713577201638,94.95812664007558,90.43917707567964,90.63979636821665,28017300.0
2005-01-25,182.2,182.24,176.29,177.12,21297000.0,0.0,1.0,91.38208775060355,91.40214967985725,88.41793770336936,88.83422273538365,21297000.0
2005-01-26,179.27,189.41,179.15,189.24,24591100.0,0.0,1.0,89.91255143277003,94.99825049858298,89.85236564500893,94.91298729925475,24591100.0
2005-01-27,188.76,188.86,185.2,188.08,13241500.0,0.0,1.0,94.67224414821034,94.7223989713446,92.88673244463104,94.33119135089746,13241500.0
2005-01-28,190.13,194.7,186.34,190.34,24391900.0,0.0,1.0,95.35936522514957,97.6514406423848,93.4584974283615,95.4646903537315,24391900.0
2005-01-31,193.69,196.36,191.72,195.62,19174200.0,0.0,1.0,97.14487692872888,98.48401070641336,96.15682691298414,98.11286501521991,19174200.0
2005-02-01,194.38,203.75,190.63,191.9,37640300.0,0.0,1.0,97.4909452083552,102.19045213603442,95.61013934082082,96.24710559462581,37640300.0
2005-02-02,215.55,216.8,203.66,205.96,65533000.0,0.0,1.0,108.10872126587594,108.73565655505406,102.1453127952136,103.29887372730136,65533000.0
2005-02-03,205.99,213.37,205.81,210.86,25950200.0,0.0,1.0,103.31392017424163,107.01534612154929,103.22364149259998,105.75646006087962,25950200.0
2005-02-04,206.47,207.75,202.6,204.36,29608900.0,0.0,1.0,103.55466332528603,104.19664506140442,101.61367166999055,102.49639655715336,29608900.0
2005-02-07,205.26,206.4,195.51,196.03,25894800.0,0.0,1.0,102.9477899653616,103.51955494909205,98.05769470977222,98.31849979007033,25894800.0
2005-02-08,196.96,200.02,194.53,198.64,22937000.0,0.0,1.0,98.78493964521886,100.31967723312691,97.56617744305657,99.62754067387425,22937000.0
2005-02-09,200.76,201.6,189.46,191.58,34308600.0,0.0,1.0,100.69082292432034,101.11212343864806,95.0233279101501,96.08661016059621,34308600.0
2005-02-10,191.97,192.21,185.25,187.98,37927400.0,0.0,1.0,96.28221397081977,96.40258554634198,92.91180985619818,94.28103652776319,37927400.0
2005-02-11,186.66,192.32,186.07,187.4,26205700.0,0.0,1.0,93.6189928623911,96.45775585178964,93.32307940589902,93.99013855358456,26205700.0
2005-02-14,186.08,193.08,181.0,192.99,77047200.0,0.0,1.0,93.32809488821246,96.83893250760995,90.78022987299255,96.79379316678913,77047200.0
2005-02-15,193.605,199.84,193.08,195.23,51514000.0,0.0,1.0,97.10224532906476,100.22939855148526,96.83893250760995,97.91726120499632,51514000.0
2005-02-16,194.7,199.33,194.3,198.41,33031500.0,0.0,1.0,97.6514406423848,99.97360895350059,97.4508213498478,99.51218458066548,33031500.0
2005-02-17,197.83,199.75,196.81,197.9,20807900.0,0.0,1.0,99.22128660648683,100.18425921066442,98.70970741051748,99.2563949826808,20807900.0
